978-0073376356_Basics of Engineering Economy 2nd Edition_Blank; Leland_Spring 2015_ECON 2107_3_Zeynep Arzu Kelani_2316_Required_60_35_58_999998_160_120_82_131.8_This text covers the basic techniques and applications of engineering economy for all disciplines in the engineering profession.
The writing style emphasizes brief, crisp coverage of the principle or technique discussed in order to reduce the time taken to present and grasp the essentials.
The objective of the text is to explain and demonstrate the principles and techniques of engineering economic analysis as applied in different fields of engineering. This brief text includes coverage of multiple attribute evaluation for instructors who want to include non-economic dimensions in alternative evaluation and the discussion of risk considerations in the appendix, compared to Blank's comprehensive text, where these topics are discussed in two unique chapters."


|978-0470520338_Environmental Science 8th Edition_Botkin and Keller_Spring 2015_ENVS 2202K_1_Daniel R. Ferreira_2550_Required_20_20_25_999998_192.5_125_17.99_57.2_Environmental Science: Earth as a Living Planet, Eighth Edition provides emphasis on the scientific process throughout the book gives readers the structure to develop their critical thinking skills. Updated and revised to include the latest research in the field, the eighth edition continues to present a balanced analytical and interdisciplinary approach to the field. New streamlined text clears away the ""jargon"" to bring the issues and the science to the forefront. The new design and updated image program highlights key points and makes the book easier to navigate



|978-0547125329_Chemistry_Steven S. Zumdahl, Susan A. Zumdahl_Spring 2015_CHEM 1212_1_Rajnish Singh_3040_Required_50_50_50_999999_271.45_361.9_22.99_272.49_CHEMISTRY outlines chemistry basics using a thoughtful approach built on problem solving. The book speaks directly to the reader about how to approach and solve chemical problems to learn to think like a chemist so that they can apply the process of problem-solving to all aspects of their lives.


|978-0547152813_General, Organic, and Biological Chemistry_H. Stephen Stoker_Spring 2015_CHEM 1151_1_HENRICKS_12027_Required_3_3_3_999999_116.81_54.03_22.5_103.96_No description available.


|978-0618761258_Economics, Seventh Edition_William Boyes and Micheal Melvin_Spring 2015_ECON 1101_1_Zepnep Arzu Kelani_2313_Recommended_24_43_57_0_68.59_14.88_13.99_92.45_accessible writting, strong pedagogy, and integration of global economic issues


|978-0618949922_Understandable Statistics 9th Edition_Brase; Corrinne Pellillo_Spring 2015_MATH 2260_2_Joseph N Fadyn_2099_Required_50_40_60_999999_258.45_193.85_122.08_91.99_Understandable Statistics is a thorough, yet accessible program designed to help students overcome their apprehensions about statistics. The authors provide guidance and informal advice, while showing students the links between statistics and the world. To reinforce this approach, the book integrates real-life data from a variety of sources including journals, periodicals, newspapers, and the Internet. The Ninth Edition addresses the growing importance of developing students' critical thinking and statistical literacy skills through the introduction of new features and exercises throughout the text. Extensive technology resources include a new algorithmic test bank and lecture slides, along with a market-leading DVD series and other resources designed to provide reinforcement for students and support for instructors. The use of graphing calculators, Excel, Minitab, and SPSS is covered though not required.


|978-0691017846_The Hero With a Thousand Faces_Joseph Campbell_Spring 2015_ENGL 1102_4_Molly Brodak_3374_Required_50_50_0_0_14_3.49_0_0_Joseph Campbell's classic cross-cultural study of the hero's journey has inspired millions and opened up new areas of research and exploration. Originally published in 1949, the book hit the New York Times best-seller list in 1988 when it became the subject of The Power of Myth, a PBS television special.
The first popular work to combine the spiritual and psychological insights of modern psychoanalysis with the archetypes of world mythology, the book creates a roadmap for navigating the frustrating path of contemporary life. Examining heroic myths in the light of modern psychology, it considers not only the patterns and stages of mythology but also its relevance to our lives today--and to the life of any person seeking a fully realized existence.
Myth, according to Campbell, is the projection of a culture's dreams onto a large screen; Campbell's book, like Star Wars, the film it helped inspire, is an exploration of the big-picture moments from the stage that is our world. It is a must-have resource for both experienced students of mythology and the explorer just beginning to approach myth as a source of knowledge.

|978-0736095419_Physical Activity and Health_Bouchard,Claude_Spring 2015_ES 2100_1_FEITO_11564_Required_4_4_4_999999_89.92_27.94_25.6_11.66_No description available.
|978-0865165601_Latin for the New Millennium: Student 
Text (Latin Edition) _Milena MinKova_Spring 2015_LATN 1002_1_TARVIN_11097_Required_3_3_3_999999_1.99_1.99_1.99_1.99_No description available.
|978-0918091895_Pre Calculus_Paul Sisson_Spring 2015_MATH 1113_1_Andrew McMorran_2057_Required_36_77_50_0_30.29_82.28_20.18_0_Provides the latest tools for students to be able to comput math problems leading into calculus.


|978-1111343781_Exploring Art: A Global, Thematic Approach (with CourseMate Printed Access Card)_Margaret Lazzari, Dona Schlesier_Spring 2015_ARTS 2001_1_Frederick A. Tookes_2407_Required_50_50_50_999999_166.54_74.99_39.87_51.08_EXPLORING ART uses art examples from around the world to discuss art in the context of religion, politics, family structure, sexuality, entertainment and visual culture.


|978-1111837662_World History_William J. Duiker_Spring 2015_HIST 1111_1_Roger Soiset_2766_Required_50_50_50_999999_182.45_65_18.99_152.49_CENGAGE ADVANTAGE BOOKS: WORLD HISTORY offers the same engaging narrative of the full Seventh Edition at an affordable price
|978-1118164297_ENGINEERING FLUID MECHANICS_ELGER_Spring 2015_ENGR 3343_1_Karim M_2647_Required_1_1_34_999999_249.95_187.45_187.45_187.45_No description available.

|978-1118372203_ENGINEERING FLUID MECHANICS LOOSLEAF_ELGER_Spring 2015_ENGR 3343_1_Karim M_2647_Required_1_1_26_999999_170_127.5_127.5_127.5_No description available.



|978-1118566701_Accounting: Tools for Business Decision Making_Paul D. Kimmel, Jerry J. Weygandt, and Donald E. Kieso _Spring 2015_ECON 2101_1_Shannon Shumate_2309_Required_39_113_52_0_202.17_9.91_18.91_70.88_rovides the basic tools and confidence for accountants to effectivley use them in making business decisions

|978-1121562875_MACHINE DYNAMICS & VIBRATIONS_VEAZIE_Spring 2015_ENGR 3125_1_Veazie D_3509_Required_1_1_34_999999_104_78_78_78_No description available.

|978-1133604372_American Government and Politics Today: The Essentials_Barbara Bardes, Mack Shelley, Steffen Schmidt_Spring 2015_POLS 1101_1_Dr. Stacey Mitchell_2794_Required_50_50_50_999999_113.28_58.12_32.84_93.99_AMERICAN GOVERNMENT AND POLITICS TODAY: THE ESSENTIALS, 2013-2014 EDITION inspires readers to join the exciting process of being active, informed citizens. Unbiased, concisely organized, and updated with Election 2012 coverage and a new focus on learning outcomes, the text's fundamental theme continues to be the importance of participating in active citizenship, emphasizing continual critical thinking about political issues, and encouraging readers to become involved in the political process. With a keen understanding of the needs and interests of today's learners, the authors incorporate interesting and relevant current examples to stimulate learning and excitement. The text is completely redesigned for even greater reader appeal.



|978-1133936794_McKeachie's Teaching Tips_Willbert McKeachie
Marilla Svinicki_Spring 2015_GRAD 9001_1_BUDDIE_13741_Required_5_5_5_999999_213.15_159.85_109_175.4_No description available.

